keys,en,fr,ko
GREET,"Hello","Bonjour","안녕하세요"
INTERACTION_MESSAGE_LABEL,"Press E to interact","Appuyez sur E pour interagir","E 키를 눌러 상호작용하기"
INTERACTION_IN_PROGRESS,"Ongoing interaction...","Interaction en cours...","상호작용 진행 중..."
GUI_BACK_TO_TIME_LABEL,"Press T to go back in time","Appuyez sur T pour remonter le temps","T 키를 눌러 시간 되돌리기"
LOADING,"Loading...","Chargement...","로딩 중..."
MAIN_MENU_TUTORIAL,"Play tutorial","Jouer au tutoriel","튜토리얼 시작하기"
MAIN_MENU_PLAY,"Play","Jouer","게임 시작하기"
MAIN_MENU_SETTINGS,"Settings","Paramètres","설정"
MAIN_MENU_EXIT,"Exit to desktop","Quitter le jeu","게임 종료"
MAIN_MENU_DEV_SANDBOX,"Enter developer sandbox","Mode développeur","개발자 테스트 모드"
PAUSE_MENU_TITLE,"Game Paused","Jeu en pause","게임 일시정지"
PAUSE_MENU_RESUME,"Resume","Reprendre","계속하기"
PAUSE_MENU_BACK_TO_MAIN_MENU,"Back to main menu","Retour au menu","메인 메뉴로"
WIN_MESSAGE,"Challenge completed","Défi réussi","도전 성공"
SETTINGS_TAB_GENERAL,"General","Général","일반"
SETTINGS_LABEL_LANGUAGE,"Language","Langue","언어"
SETTINGS_CLOSE,"Close","Fermer","닫기"
